id_dpto;divipola;nombre;latitud;Longitud;SubregionPDET;zonaReservaCampesina;zomac ;ruralidad;restitucionTierras;zonaNucleoReforma;mape
08;8638;Sabanalarga;10,632091;-74,921256;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
08;8675;Santa lucía;10,324303;-74,959204;No PDET;Sin zona;false;Intermedio;false;No ZNRA;Ausencia
08;8685;Santo tomás;10,758735;-74,757859;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
08;8758;Soledad;10,909921;-74,786054;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
08;8770;Suan;10,335432;-74,881687;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
08;8832;Tubará;10,873586;-74,978704;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
08;8849;Usiacurí;10,74298;-74,976985;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
11;11001;Bogotá, D.C.;4,649251;-74,106992;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
13;13001;Cartagena de indias;10,385126;-75,496269;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
13;13006;Achí;8,570107;-74,557676;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
13;13030;Altos del rosario;8,791865;-74,164905;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
13;13042;Arenal;8,458865;-73,941099;SUR DE BOLÍVAR;Arenal Morales - Sur de Bolívar;true;Rural disperso;true;No ZNRA;Ausencia
13;13052;Arjona;10,25666;-75,344332;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
13;13062;Arroyohondo;10,250075;-75,019215;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
13;13074;Barranco de loba;8,947787;-74,104391;No PDET;Sin zona;false;Rural;true;No ZNRA;Presencia
13;13140;Calamar;10,250431;-74,916144;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
13;13160;Cantagallo;7,378678;-73,914605;SUR DE BOLÍVAR;Valle del río Cimitarra;true;Rural;true;No ZNRA;Ausencia
13;13188;Cicuco;9,274281;-74,645981;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
13;13212;Córdoba;9,586942;-74,827399;MONTES DE MARÍA;Montes de Maria II;true;Rural disperso;true;Sucre;Ausencia
13;13222;Clemencia;10,567452;-75,328469;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
13;13244;El carmen de bolívar;9,718653;-75,121178;MONTES DE MARÍA;Sin zona;true;Intermedio;true;No ZNRA;Ausencia
13;13248;El guamo;10,030958;-74,976084;MONTES DE MARÍA;Montes de Maria II;true;Rural;true;No ZNRA;Ausencia
13;13268;El peñón;8,988271;-73,949274;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
13;13300;Hatillo de loba;8,956014;-74,077912;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
13;13430;Magangué;9,263799;-74,766742;No PDET;Sin zona;false;Intermedio;true;Sucre;Ausencia
13;13433;Mahates;10,233285;-75,191643;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
13;13440;Margarita;9,15784;-74,285137;No PDET;Sin zona;false;Rural disperso;false;No ZNRA;Ausencia
13;13442;María la baja;9,982402;-75,300516;MONTES DE MARÍA;Sin zona;true;Intermedio;true;No ZNRA;Ausencia
13;13458;Montecristo;8,297234;-74,471176;No PDET;Sin zona;true;Rural disperso;true;No ZNRA;Presencia
13;13468;Mompós;9,244241;-74,42818;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
13;13473;Morales;8,276558;-73,868172;SUR DE BOLÍVAR;Arenal Morales - Sur de Bolívar;true;Rural disperso;true;Magdalena Medio;Presencia
13;13490;Norosí;8,526259;-74,038003;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
13;13549;Pinillos;8,914947;-74,462279;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
13;13580;Regidor;8,666258;-73,821638;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
13;13600;Río viejo;8,58795;-73,840466;No PDET;Sin zona;true;Rural;true;No ZNRA;Ausencia
13;13620;San cristóbal;10,392836;-75,065076;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
13;13647;San estanislao;10,398602;-75,153101;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
13;13650;San fernando;9,214183;-74,323811;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
13;13654;San jacinto;9,830275;-75,12105;MONTES DE MARÍA;Sin zona;true;Rural;true;No ZNRA;Ausencia
13;13655;San jacinto del cauca;8,25158;-74,721156;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
13;13657;San juan nepomuceno;9,953751;-75,081761;MONTES DE MARÍA;Montes de Maria II;true;Intermedio;true;No ZNRA;Ausencia
13;13667;San martín de loba;8,937485;-74,039134;No PDET;Sin zona;false;Rural;true;No ZNRA;Presencia
13;13670;San pablo;7,476747;-73,924602;SUR DE BOLÍVAR;Valle del río Cimitarra;true;Intermedio;true;No ZNRA;Presencia
13;13673;Santa catalina;10,605294;-75,287855;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
13;13683;Santa rosa de lima;10,444396;-75,369824;No PDET;Sin zona;true;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
